1     0.010     0.009     0.068
2     0.010     0.009     0.071
3     0.010     0.010     0.090
4     0.010     0.010     0.107
5     0.010     0.010     0.110
6     0.010     0.010     0.111
7     0.010     0.010     0.133
8     0.010     0.010     0.138
9     0.010     0.010     0.145
10     0.010     0.010     0.147
11     0.010     0.010     0.149
12     0.010     0.010     0.153
13     0.010     0.010     0.155
14     0.010     0.010     0.158
15     0.010     0.010     0.159
16     0.010     0.010     0.163
17     0.010     0.010     0.163
18     0.010     0.010     0.172
19     0.010     0.010     0.175
20     0.010     0.010     0.175
21     0.010     0.010     0.176
22     0.010     0.010     0.178
23     0.010     0.010     0.182
24     0.010     0.010     0.183
25     0.010     0.010     0.184
26     0.010     0.010     0.185
27     0.010     0.010     0.193
28     0.010     0.010     0.193
29     0.010     0.010     0.196
30     0.010     0.010     0.201
31     0.010     0.010     0.201
32     0.010     0.010     0.203
33     0.010     0.010     0.205
34     0.010     0.010     0.205
35     0.010     0.010     0.207
36     0.010     0.010     0.208
37     0.010     0.010     0.208
38     0.010     0.010     0.209
39     0.010     0.010     0.210
40     0.010     0.010     0.210
41     0.010     0.010     0.214
42     0.010     0.010     0.214
43     0.010     0.010     0.214
44     0.010     0.010     0.216
45     0.010     0.010     0.218
46     0.010     0.010     0.222
47     0.010     0.010     0.222
48     0.010     0.010     0.225
49     0.010     0.010     0.230
50     0.010     0.010     0.237
51     0.010     0.010     0.240
52     0.010     0.010     0.244
53     0.010     0.010     0.247
54     0.010     0.010     0.249
55     0.010     0.010     0.252
56     0.010     0.010     0.252
57     0.010     0.010     0.255
58     0.010     0.010     0.256
59     0.010     0.010     0.280
60     0.010     0.010     0.289
61     0.010     0.010     0.300
62     0.010     0.010     0.316
63     0.010     0.010     0.322
64     0.010     0.010     0.323
65     0.010     0.010     0.325
66     0.010     0.010     0.333
67     0.010     0.010     0.336
68     0.010     0.010     0.338
69     0.010     0.010     0.339
70     0.010     0.010     0.343
71     0.010     0.010     0.351
72     0.010     0.010     0.356
73     0.010     0.010     0.360
74     0.010     0.010     0.364
75     0.010     0.010     0.365
76     0.010     0.010     0.366
77     0.010     0.010     0.370
78     0.010     0.010     0.371
79     0.010     0.010     0.373
80     0.010     0.010     0.375
81     0.010     0.010     0.376
82     0.010     0.010     0.378
83     0.010     0.010     0.378
84     0.010     0.010     0.379
85     0.010     0.010     0.379
86     0.010     0.010     0.381
87     0.010     0.010     0.382
88     0.010     0.010     0.388
89     0.010     0.010     0.388
90     0.010     0.010     0.389
91     0.010     0.010     0.390
92     0.010     0.011     0.391
93     0.010     0.011     0.400
94     0.010     0.011     0.401
95     0.010     0.011     0.402
96     0.010     0.011     0.406
97     0.010     0.011     0.411
98     0.010     0.011     0.498
99     0.010     0.011     1.867
100     0.010     0.011     3.108
