    0.005     0.005     0.120
    0.005     0.005     0.120
    0.005     0.005     0.121
    0.005     0.005     0.121
    0.005     0.005     0.123
    0.005     0.005     0.125
    0.005     0.005     0.127
    0.005     0.005     0.127
    0.005     0.005     0.129
    0.005     0.005     0.130
    0.005     0.005     0.132
    0.005     0.005     0.133
    0.005     0.005     0.134
    0.005     0.005     0.135
    0.005     0.005     0.135
    0.005     0.005     0.136
    0.005     0.005     0.136
    0.005     0.005     0.136
    0.005     0.005     0.136
    0.005     0.005     0.136
    0.005     0.005     0.137
    0.005     0.005     0.137
    0.005     0.005     0.139
    0.005     0.005     0.141
    0.005     0.005     0.142
    0.005     0.005     0.144
    0.005     0.005     0.146
    0.005     0.005     0.146
    0.005     0.005     0.157
    0.005     0.005     0.157
    0.005     0.005     0.158
    0.005     0.005     0.158
    0.005     0.005     0.160
    0.005     0.005     0.164
    0.005     0.005     0.164
    0.005     0.005     0.164
    0.005     0.005     0.166
    0.005     0.005     0.166
    0.005     0.005     0.167
    0.005     0.005     0.168
    0.005     0.005     0.168
    0.005     0.005     0.173
    0.005     0.005     0.182
    0.005     0.005     0.185
    0.005     0.005     0.187
    0.005     0.005     0.187
    0.005     0.005     0.192
    0.005     0.005     0.196
    0.005     0.005     0.196
    0.005     0.005     0.198
    0.005     0.006     0.200
    0.005     0.006     0.202
    0.005     0.006     0.203
    0.005     0.006     0.204
    0.005     0.006     0.207
    0.005     0.006     0.208
    0.005     0.006     0.209
    0.005     0.006     0.212
    0.005     0.006     0.216
    0.005     0.006     0.219
    0.005     0.006     0.219
    0.005     0.006     0.227
    0.005     0.006     0.234
    0.005     0.006     0.241
    0.005     0.006     0.242
    0.005     0.006     0.244
    0.005     0.006     0.254
    0.005     0.006     0.261
    0.005     0.006     0.262
    0.005     0.006     0.266
    0.005     0.006     0.268
    0.005     0.006     0.291
    0.005     0.006     0.315
    0.005     0.006     0.333
    0.005     0.006     0.341
    0.005     0.006     0.347
    0.005     0.006     0.352
    0.005     0.006     0.383
    0.005     0.006     0.384
    0.005     0.006     0.390
    0.005     0.006     0.390
    0.005     0.006     0.391
    0.005     0.006     0.391
    0.005     0.006     0.391
    0.005     0.006     0.399
    0.005     0.006     0.403
    0.005     0.006     0.404
    0.005     0.006     0.424
    0.005     0.006     0.433
    0.005     0.006     0.437
    0.005     0.006     0.438
    0.005     0.006     0.441
    0.005     0.006     0.470
    0.005     0.006     0.473
    0.005     0.006     0.474
    0.005     0.006     0.483
    0.005     0.006     0.571
    0.005     0.006     0.623
    0.005     0.006     0.636
    0.005     0.006     3.071

    0.010     0.009     0.134
    0.010     0.009     0.143
    0.010     0.009     0.159
    0.010     0.009     0.180
    0.010     0.009     0.198
    0.010     0.009     0.198
    0.010     0.009     0.222
    0.010     0.009     0.224
    0.010     0.009     0.228
    0.010     0.009     0.267
    0.010     0.009     0.282
    0.010     0.009     0.283
    0.010     0.009     0.303
    0.010     0.009     0.316
    0.010     0.009     0.327
    0.010     0.009     0.330
    0.010     0.009     0.337
    0.010     0.009     0.337
    0.010     0.009     0.345
    0.010     0.009     0.345
    0.010     0.009     0.346
    0.010     0.009     0.352
    0.010     0.009     0.366
    0.010     0.009     0.367
    0.010     0.010     0.367
    0.010     0.010     0.372
    0.010     0.010     0.374
    0.010     0.010     0.396
    0.010     0.010     0.396
    0.010     0.010     0.399
    0.010     0.010     0.400
    0.010     0.010     0.402
    0.010     0.010     0.403
    0.010     0.010     0.406
    0.010     0.010     0.409
    0.010     0.010     0.412
    0.010     0.010     0.418
    0.010     0.010     0.453
    0.010     0.010     0.462
    0.010     0.010     0.469
    0.010     0.010     0.481
    0.010     0.010     0.488
    0.010     0.010     0.535
    0.010     0.010     0.552
    0.010     0.010     0.582
    0.010     0.010     0.691
    0.010     0.010     0.691
    0.010     0.010     0.698
    0.010     0.010     0.707
    0.010     0.010     0.717
    0.010     0.010     0.721
    0.010     0.010     0.722
    0.010     0.010     0.768
    0.010     0.010     0.789
    0.010     0.010     0.962
    0.010     0.010     0.975
    0.010     0.010     0.975
    0.010     0.010     1.034
    0.010     0.010     1.212
    0.010     0.010     1.269
    0.010     0.010     1.279
    0.010     0.010     1.336
    0.010     0.010     1.410
    0.010     0.010     1.423
    0.010     0.010     1.458
    0.010     0.010     1.459
    0.010     0.010     1.506
    0.010     0.010     1.526
    0.010     0.010     1.655
    0.010     0.010     1.740
    0.010     0.010     1.822
    0.010     0.010     1.947
    0.010     0.010     1.958
    0.010     0.010     1.988
    0.010     0.010     2.027
    0.010     0.010     2.111
    0.010     0.010     2.231
    0.010     0.010     2.239
    0.010     0.010     2.353
    0.010     0.010     2.498
    0.010     0.010     2.554
    0.010     0.010     2.593
    0.010     0.010     2.660
    0.010     0.010     2.676
    0.010     0.010     2.694
    0.010     0.010     2.697
    0.010     0.010     2.753
    0.010     0.010     2.872
    0.010     0.010     3.046
    0.010     0.010     3.056
    0.010     0.010     3.320
    0.010     0.010     3.476
    0.010     0.010     3.509
    0.010     0.011     3.613
    0.010     0.011     3.686
    0.010     0.011     3.740
    0.010     0.011     3.779
    0.010     0.011     3.794
    0.010     0.011     3.850
    0.010     0.011     3.865

    0.013     0.012     0.161
    0.013     0.012     0.197
    0.013     0.012     0.212
    0.013     0.012     0.218
    0.013     0.013     0.246
    0.013     0.013     0.254
    0.013     0.013     0.327
    0.013     0.013     0.336
    0.013     0.013     0.354
    0.013     0.013     0.390
    0.013     0.013     0.393
    0.013     0.013     0.394
    0.013     0.013     0.402
    0.013     0.013     0.403
    0.013     0.013     0.413
    0.013     0.013     0.414
    0.013     0.013     0.431
    0.013     0.013     0.432
    0.013     0.013     0.462
    0.013     0.013     0.481
    0.013     0.013     0.483
    0.013     0.013     0.505
    0.013     0.013     0.512
    0.013     0.013     0.515
    0.013     0.013     0.548
    0.013     0.013     0.556
    0.013     0.013     0.575
    0.013     0.013     0.588
    0.013     0.013     0.592
    0.013     0.013     0.602
    0.013     0.013     0.644
    0.013     0.013     0.652
    0.013     0.013     0.657
    0.013     0.013     0.690
    0.013     0.013     0.702
    0.013     0.013     0.714
    0.013     0.013     0.741
    0.013     0.013     0.768
    0.013     0.013     0.775
